employee_id,job_role,job_level,business_travel,overtime,monthly_income,hourly_rate,daily_rate,monthly_rate,percent_salary_hike,stock_option_level,training_times_last_year,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
1,Sales Executive,2,Travel_Rarely,Yes,5993,94,1102,19479,11,0,0,6,4,0,5
2,Research Scientist,2,Travel_Frequently,No,5130,61,279,24907,23,1,3,10,7,1,7
4,Laboratory Technician,1,Travel_Rarely,Yes,2090,92,1373,2396,15,0,3,0,0,0,0
5,Research Scientist,1,Travel_Frequently,Yes,2909,56,1392,23159,11,0,3,8,7,3,0
7,Laboratory Technician,1,Travel_Rarely,No,3468,40,591,16632,12,1,3,2,2,2,2
8,Laboratory Technician,1,Travel_Frequently,No,3068,79,1005,11864,13,0,2,7,7,3,6
10,Laboratory Technician,1,Travel_Rarely,Yes,2670,81,1324,9964,20,3,3,1,0,0,0
11,Laboratory Technician,1,Travel_Rarely,No,2693,67,1358,13335,22,1,2,1,0,0,0
12,Manufacturing Director,3,Travel_Frequently,No,9526,44,216,8787,21,0,2,9,7,1,8
13,Healthcare Representative,2,Travel_Rarely,No,5237,94,1299,16577,13,2,3,7,7,7,7
14,Laboratory Technician,1,Travel_Rarely,No,2426,84,809,16479,13,1,5,5,4,0,3
15,Laboratory Technician,2,Travel_Rarely,Yes,4193,49,153,12682,12,0,3,9,5,0,8
16,Research Scientist,1,Travel_Rarely,No,2911,31,670,15170,17,1,1,5,2,4,3
18,Laboratory Technician,1,Travel_Rarely,No,2661,93,1346,8758,11,1,2,2,2,1,2
19,Laboratory Technician,1,Travel_Rarely,Yes,2028,50,103,12947,14,0,4,4,2,0,3
20,Manufacturing Director,3,Travel_Rarely,No,9980,51,1389,10195,11,1,1,10,9,8,8
21,Research Scientist,1,Travel_Rarely,Yes,3298,80,334,15053,12,2,5,6,2,0,5
22,Laboratory Technician,1,Non-Travel,Yes,2935,96,1123,7324,13,2,2,1,0,0,0
23,Manager,4,Travel_Rarely,No,15427,78,1219,22021,16,0,3,25,8,3,7
24,Research Scientist,1,Travel_Rarely,Yes,3944,45,371,4306,11,0,3,3,2,1,2
26,Manufacturing Director,2,Non-Travel,No,4011,96,673,8232,18,1,5,4,2,1,3
27,Sales Representative,1,Travel_Rarely,No,3407,82,1218,6986,23,0,4,5,3,0,3
